,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1632152791882911744,1632152791882911744,1677970524000.0,2023-03-04 23:55:24,+0100,,@hm when i catch you! why do the points go away at the beginning of the year!?!?!?,en,[],[],894727846878466048,894727846878466048,jjmastermind,jas takes atl📍,6,23,https://twitter.com/jjmastermind/status/1632152791882911744,[],[],0,,False,0,0,0,,@hm,,,,,,,[],,,,
1,1632125518169673728,1631731598407213085,1677964021000.0,2023-03-04 22:07:01,+0100,,@_desiwinter @hm @HotTopic @zumiez  https://t.co/KarlVgVK8K,qme,[],[],306164103,306164103,SkiiMaskJordan,SKII MASK JORDAN,6,22,https://twitter.com/SkiiMaskJordan/status/1632125518169673728,[],['https://pbs.twimg.com/tweet_video_thumb/FqZ5gWKaEAAlcOn.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FqZ5gWKaEAAlcOn.jpg,False,0,0,0,,@hm,,,,,,,"[{'screen_name': '_desiwinter', 'name': 'Winter 🖤', 'id': '1379835980862025729'}, {'screen_name': 'hm', 'name': 'H&M', 'id': '14399483'}, {'screen_name': 'HotTopic', 'name': 'Hot Topic', 'id': '15023872'}]",,,,
2,1632124712032825344,1631731598407213085,1677963829000.0,2023-03-04 22:03:49,+0100,,@SkiiMaskJordan @hm @HotTopic @zumiez This is fire. 🔥,en,[],[],1379835980862025729,1379835980862025729,_desiwinter,Winter 🖤,6,22,https://twitter.com/_desiwinter/status/1632124712032825344,[],[],0,,False,2,1,1,,@hm,,,,,,,"[{'screen_name': 'SkiiMaskJordan', 'name': 'SKII MASK JORDAN', 'id': '306164103'}, {'screen_name': 'hm', 'name': 'H&M', 'id': '14399483'}, {'screen_name': 'HotTopic', 'name': 'Hot Topic', 'id': '15023872'}, {'screen_name': 'zumiez', 'name': 'Zumiez', 'id': '34005961'}]",,,,
3,1632124275380371459,1632124275380371459,1677963725000.0,2023-03-04 22:02:05,+0100,,@hm this zip is the best rn  https://t.co/FAUAj8UlSJ,en,[],[],953716849342078981,953716849342078981,UncleTroyy,Troy...,6,22,https://twitter.com/UncleTroyy/status/1632124275380371459,[],['https://pbs.twimg.com/media/FqZ4YIRX0AoCm2q.jpg'],1,https://pbs.twimg.com/media/FqZ4YIRX0AoCm2q.jpg,False,0,1,0,,@hm,,,,,,,[],,,,
4,1632118724680376321,1632118724680376321,1677962401000.0,2023-03-04 21:40:01,+0100,,Since when did @hm not allow you to try on clothes in store anymore? That definitely won’t last long. We already don’t want to spend money as is. Smh.,en,[],[],22586525,22586525,shyunatown,PUNKFATHER,6,21,https://twitter.com/shyunatown/status/1632118724680376321,[],[],0,,False,0,1,0,,@hm,,,,,,,[],,,,
5,1632117052432584704,1632117052432584704,1677962003000.0,2023-03-04 21:33:23,+0100,,@hm @hm_custserv when my money will be refunded?  https://t.co/FunND2Pxlh,en,[],[],1615088761091817472,1615088761091817472,TallNJacked,Coach Vaibhav | @TallAndJacked,6,21,https://twitter.com/TallNJacked/status/1632117052432584704,[],['https://pbs.twimg.com/media/FqZxzH9XoAIPfKn.jpg'],1,https://pbs.twimg.com/media/FqZxzH9XoAIPfKn.jpg,False,0,0,0,,@hm,,,,,,,[],,,,
6,1632107933281419265,1632107933281419265,1677959829000.0,2023-03-04 20:57:09,+0100,,@hm studio a/w 2023 must haves. 💕  https://t.co/49Zh3WrU10,en,[],[],1436396480,1436396480,Ginarodine_,Gigi Lollobridgida ☆.,6,20,https://twitter.com/Ginarodine_/status/1632107933281419265,[],"['https://pbs.twimg.com/media/FqZpg4TX0AMJjio.jpg', 'https://pbs.twimg.com/media/FqZpg3nXoAA4-tV.jpg', 'https://pbs.twimg.com/media/FqZpg3sWcAEh4UY.jpg', 'https://pbs.twimg.com/media/FqZpg3nWcAUhRVd.jpg']",1,https://pbs.twimg.com/media/FqZpg4TX0AMJjio.jpg,False,0,1,0,,@hm,,,,,,,[],,,,
7,1632103570685452288,1304429354412367872,1677958788000.0,2023-03-04 20:39:48,+0100,,"@hm @morgreynolds Hello , could you please tell me if the black blazer with number 1086465006 will be restocked in india?🥺 Need the blazer urgently😞",en,[],[],1289541842627735553,1289541842627735553,ShreyaS20030,Shreya,6,20,https://twitter.com/ShreyaS20030/status/1632103570685452288,[],[],0,,False,0,0,0,,@hm,,,,,,,"[{'screen_name': 'hm', 'name': 'H&M', 'id': '14399483'}, {'screen_name': 'morgreynolds', 'name': 'Morgan', 'id': '495389879'}]",,,,
8,1632098408013119488,1632098408013119488,1677957558000.0,2023-03-04 20:19:18,+0100,,"Please do not engage sa mga negative. Instead, let’s continue streaming:  Sayang Tayo MV ⬇️  https://t.co/GEcCsA0gkr  @hm @hmphilippines campaign on Blythe’s YT account ⬇️  https://t.co/3gYZd8tkcX  DO NOT FORGET to vote for @iamandrea_b for TikTok Star of  https://t.co/NjMExHk3nU…  https://t.co/3tLND8jP7L",en,[],[],1424713307257245699,1424713307257245699,CciDreaofc,CciDrea Official || ❤️ ||,6,20,https://twitter.com/CciDreaofc/status/1632098408013119488,"['http://youtu.be/TdIT3F1N9_U', 'https://tinyurl.com/2w8r5bdk', 'https://tinyurl.com/2cyn99cj']","['https://pbs.twimg.com/media/FqZgkokacAI2rvJ.jpg', 'https://pbs.twimg.com/media/FqZgkolaAAAtJNH.jpg', 'https://pbs.twimg.com/media/FqZgkojaYAANw-o.jpg']",1,https://pbs.twimg.com/media/FqZgkokacAI2rvJ.jpg,False,20,0,7,,@hm,,,,,,,[],,,,
9,1632093567144415232,1632093567144415232,1677956403000.0,2023-03-04 20:00:03,+0100,,"Cotton candy couture, brought to you by #HMStudio @hm  Spring/Summer 2023. 💖 The collection is out very soon!  https://t.co/DqhdHOimYh",en,['hmstudio'],[],749880299149025280,749880299149025280,CathedralSqWorc,Cathedral Square,6,20,https://twitter.com/CathedralSqWorc/status/1632093567144415232,[],['https://pbs.twimg.com/media/FqZccrbXwAAZrAR.jpg'],1,https://pbs.twimg.com/media/FqZccrbXwAAZrAR.jpg,False,0,0,0,,@hm,,,,,,,[],,,,
10,1632076639604539394,1632076639604539394,1677952368000.0,2023-03-04 18:52:48,+0100,,Ideas for #tstheerastour: @hm purple sequin dress Three variations  https://t.co/ibiqRDcyWf,en,['tstheerastour'],[],1479927865957306368,1479927865957306368,floriswyatt13,Andrea🌙 Midnight's Version 🕰,6,18,https://twitter.com/floriswyatt13/status/1632076639604539394,['https://www.instagram.com/p/CpYESGTNTcO/?igshid=MDJmNzVkMjY='],[],0,,False,0,0,0,,@hm,,,,,,,[],,,,
11,1632075994227146752,1632075994227146752,1677952214000.0,2023-03-04 18:50:14,+0100,,"@hm Inorbit store oy yours in Hyderabad, India is poorly managed...long lines for trial room and billing counter...staff harrases customers and does not have billing details...infact all this is mental trauma...going to consumer court for billing purpose...",en,[],[],1409109836466298889,1409109836466298889,RakeshS23325780,Rakesh Sharma,6,18,https://twitter.com/RakeshS23325780/status/1632075994227146752,[],[],0,,False,0,0,0,,@hm,,,,,,,[],,,,
